email,data,valor,quantidade,produto
franklinalexandra@example.com,2024-09-21 00:08:39.259332,236.13,17,Product A
evanskarl@example.org,2023-12-15 01:54:07.844837,162.24,11,Product C
rebecca28@example.com,2024-06-04 03:29:50.677267,661.38,9,Product B
frankware@example.org,2023-09-26 00:21:03.557001,307.77,8,Product C
christina12@example.net,2024-02-26 18:16:17.603570,466.66,4,Product C
qjones@example.com,2024-04-14 00:22:30.321519,173.45,20,Product C
dustinyoung@example.net,2024-09-09 13:23:00.044819,413.33,1,Product C
pollardfaith@example.com,2023-11-29 20:07:39.899027,161.94,17,Product B
dominique08@example.net,2024-06-08 13:13:50.242365,926.6,12,Product B
randyjennings@example.net,2024-05-27 15:19:26.498704,438.6,1,Product A
travisbrooke@example.com,2024-04-28 04:44:19.245107,60.32,2,Product A
dlewis@example.net,2024-09-22 14:46:27.525679,932.13,19,Product A
joseallen@example.com,2023-12-10 20:17:12.271533,152.11,14,Product B
michael13@example.net,2024-03-23 02:17:55.309241,391.8,19,Product C
martin34@example.org,2024-06-17 22:21:41.179105,177.23,20,Product B
curtis91@example.org,2023-10-21 18:08:28.396739,451.63,4,Product B
youngfrancisco@example.net,2024-05-07 01:58:24.313450,280.5,18,Product B
hornjill@example.com,2024-04-07 14:59:03.135363,36.95,10,Product A
justin32@example.net,2024-04-20 07:24:38.511098,602.53,17,Product A
taylormichelle@example.com,2023-12-20 14:10:11.205763,849.55,1,Product C
russellteresa@example.com,2024-04-17 12:08:00.874136,171.96,8,Product B
zkane@example.org,2024-07-06 14:33:34.862146,286.74,1,Product A
stephaniezhang@example.net,2023-10-09 09:09:37.859245,48.56,11,Product A
murphyjared@example.org,2024-01-04 11:33:20.289767,455.92,14,Product B
vhorne@example.com,2024-05-31 20:45:04.915519,109.59,19,Product B
rburnett@example.org,2023-11-11 09:17:26.913453,881.4,5,Product A
mike85@example.org,2024-09-02 07:45:37.270324,48.25,4,Product C
lorettaleonard@example.net,2024-08-25 10:18:11.087624,830.6,8,Product A
carmenjohnson@example.org,2023-12-13 06:41:38.373662,387.55,17,Product B
scottjennifer@example.com,2024-04-27 22:43:56.890042,319.89,5,Product A
dawnburke@example.org,2023-12-14 06:25:47.169873,268.42,5,Product A
ewelch@example.com,2024-07-17 11:57:30.553330,787.59,20,Product B
lwilson@example.org,2024-01-18 19:57:21.489169,474.96,12,Product C
laura66@example.org,2023-11-28 21:43:21.983705,908.78,13,Product C
llogan@example.com,2024-08-21 09:40:05.036356,249.89,3,Product C
daniel37@example.org,2023-10-16 04:29:03.603493,983.98,7,Product A
chelsea57@example.com,2024-05-29 00:18:10.960058,693.64,16,Product C
grace70@example.com,2024-08-31 16:32:40.019982,627.79,9,Product A
hdyer@example.net,2024-08-16 10:36:58.562203,119.62,20,Product C
vanessa68@example.com,2023-12-28 09:40:17.505157,429.33,15,Product B
aguilarjasmine@example.net,2024-01-19 17:14:54.220902,77.43,10,Product B
sharon29@example.org,2024-02-19 17:21:06.285187,786.9,1,Product B
ieverett@example.net,2024-07-22 18:27:30.630373,176.52,11,Product C
andrew45@example.net,2024-09-17 18:27:53.119263,982.2,19,Product A
gary53@example.org,2024-04-02 12:40:59.085908,384.78,4,Product B
robertsjonathan@example.net,2024-09-08 05:28:26.691499,583.19,14,Product C
bdawson@example.org,2024-07-17 06:23:42.255139,114.19,20,Product B
lcummings@example.com,2024-01-23 10:53:27.513672,91.0,3,Product B
lauren58@example.com,2023-12-21 16:02:26.669004,802.54,9,Product B
nielsencrystal@example.net,2023-11-25 10:12:07.180220,522.67,4,Product B
kcook@example.org,2024-01-14 12:48:14.789371,755.29,5,Product A
westjason@example.com,2024-09-10 23:25:11.030848,48.7,12,Product B
lawsontracy@example.net,2024-04-07 05:10:58.872634,732.62,13,Product A
javiercharles@example.net,2024-08-24 23:23:05.739081,411.85,16,Product A
traceypollard@example.net,2024-03-10 06:43:58.673267,270.4,9,Product C
nicole88@example.net,2024-08-14 02:16:45.613587,129.0,8,Product A
cgray@example.com,2023-12-19 02:49:24.928493,307.0,10,Product A
dmartin@example.org,2023-10-03 11:43:38.707171,794.45,14,Product C
darryl04@example.com,2024-03-04 23:26:38.672018,817.7,6,Product C
cannonjeremy@example.net,2023-12-31 03:37:50.883865,38.77,9,Product B
martineztodd@example.net,2023-09-26 18:21:07.031028,238.75,5,Product B
christiansanchez@example.com,2024-01-02 20:43:55.426363,823.34,10,Product B
ghowell@example.org,2024-03-19 17:35:42.895462,367.2,9,Product A
eclark@example.net,2024-04-12 14:17:04.299020,896.3,16,Product C
benjamin12@example.net,2024-05-29 00:16:50.031327,51.39,7,Product C
jonmartin@example.com,2024-03-08 00:21:34.232986,630.95,7,Product C
nicholaskennedy@example.org,2024-05-05 16:12:33.069832,406.92,15,Product B
fmartinez@example.com,2023-10-04 21:39:57.726725,570.46,17,Product C
reedregina@example.net,2024-02-14 07:44:53.623429,887.97,7,Product B
allenmichael@example.net,2024-09-19 07:24:11.138395,182.57,3,Product C
johnsoneugene@example.com,2024-07-28 20:44:54.257983,111.21,20,Product C
meredithcaldwell@example.com,2023-11-08 11:07:58.383320,988.94,7,Product C
lori14@example.net,2024-07-19 12:10:42.788203,62.28,7,Product A
christiansmith@example.com,2024-02-21 20:12:27.080361,710.9,2,Product B
tammy27@example.org,2024-09-09 08:05:04.689292,87.2,3,Product A
fscott@example.net,2024-06-25 09:33:58.432704,785.5,19,Product A
eford@example.org,2024-05-23 17:21:25.958145,471.59,9,Product C
townsendkevin@example.com,2024-01-19 02:05:51.963192,953.69,9,Product A
lindsaykelly@example.net,2023-12-25 13:53:08.458905,603.72,8,Product A
landryscott@example.org,2024-08-05 20:57:27.498287,338.26,2,Product B
lmarks@example.com,2024-05-25 02:53:15.474661,802.12,20,Product B
rubiojohn@example.org,2024-02-15 11:57:49.453291,814.67,20,Product B
clarkscott@example.com,2024-08-13 15:52:06.993990,340.7,20,Product B
martincrystal@example.com,2024-05-31 01:18:23.658063,480.66,4,Product B
zgibbs@example.org,2023-11-24 07:42:00.506133,570.64,11,Product C
darrylbond@example.com,2023-11-29 08:57:11.139657,396.14,19,Product C
josephlambert@example.com,2024-03-03 22:49:57.912319,871.5,20,Product B
qsanders@example.org,2024-09-19 13:04:05.878168,15.88,10,Product A
christopher69@example.net,2024-05-13 20:57:12.759744,493.49,3,Product B
igross@example.org,2024-06-07 04:32:02.076400,210.26,1,Product B
ldean@example.net,2024-01-02 11:46:47.637090,492.9,16,Product C
smithdaniel@example.com,2023-12-22 02:04:23.690665,310.77,11,Product B
palexander@example.org,2023-10-22 05:30:47.390827,766.88,5,Product A
lewisjames@example.net,2024-05-12 02:13:40.355040,639.52,1,Product C
matthewcaldwell@example.com,2024-01-12 03:08:10.563079,843.27,12,Product B
rickbutler@example.com,2023-10-23 03:21:46.564419,88.41,1,Product B
kfletcher@example.org,2024-09-21 00:09:33.937609,744.34,16,Product A
crawfordkimberly@example.net,2024-05-28 07:42:11.648891,926.0,15,Product C
melissa83@example.org,2024-09-01 09:01:46.880025,317.1,10,Product B
murphywilliam@example.org,2024-09-09 11:20:40.612563,951.15,11,Product C
dblack@example.net,2024-07-16 10:22:18.727883,15.9,14,Product B
daniel46@example.com,2024-02-09 01:50:39.411276,176.31,5,Product B
darrenmosley@example.com,2024-05-12 12:03:28.617254,973.21,15,Product A
victoria93@example.org,2024-08-05 02:00:03.955229,11.49,9,Product A
moorejerry@example.org,2024-08-20 18:20:27.009310,33.4,11,Product B
thomasboyd@example.com,2024-03-12 05:42:56.755589,271.82,15,Product B
floydparker@example.com,2024-01-27 00:57:39.121479,393.5,13,Product A
watkinskatherine@example.com,2023-11-04 08:15:28.588590,468.92,1,Product B
anthonygarcia@example.net,2024-05-30 21:36:07.651449,365.58,10,Product A
lauranash@example.net,2024-08-26 23:37:41.610084,893.2,20,Product C
robert12@example.org,2024-01-08 10:24:24.104849,301.45,18,Product C
jessicaharding@example.org,2023-12-23 11:45:55.309153,78.4,4,Product C
kevinfox@example.net,2023-12-30 20:18:08.806720,392.56,16,Product B
jasonmurphy@example.com,2024-06-08 07:59:30.824243,203.84,18,Product B
christopherhess@example.org,2024-01-24 22:32:57.391606,723.15,15,Product C
brian59@example.org,2024-07-06 19:28:45.066808,948.87,15,Product B
robinsonlaura@example.com,2024-05-22 21:25:02.959270,808.89,19,Product B
elindsey@example.net,2024-07-22 03:42:26.422035,739.55,14,Product A
jefferyrowe@example.org,2024-01-15 10:57:02.245251,756.58,3,Product B
woodardteresa@example.net,2024-04-21 23:48:47.354086,378.27,7,Product B
abigailbell@example.org,2024-06-19 14:56:29.615546,536.77,1,Product B
brittanymckinney@example.org,2024-03-06 14:21:34.010103,300.6,9,Product A
jacquelinehenson@example.org,2024-05-22 04:12:52.539937,378.63,1,Product B
gdavis@example.net,2024-03-19 10:46:02.208399,978.47,8,Product B
jeanne86@example.com,2023-12-19 06:31:50.155588,364.18,20,Product A
novakchristopher@example.net,2024-06-14 22:18:04.807936,31.67,7,Product B
alvin46@example.com,2024-06-18 22:31:44.117929,503.25,3,Product C
ckelly@example.net,2023-10-14 08:05:14.655571,645.36,13,Product B
michael55@example.net,2024-03-20 03:36:59.230616,698.1,16,Product C
johnmcbride@example.net,2024-06-16 14:00:03.855255,884.38,16,Product B
johnny30@example.org,2024-01-17 21:47:24.699622,508.24,17,Product B
annettesmith@example.org,2024-06-16 04:33:25.927459,510.7,20,Product B
ronnie14@example.com,2023-10-10 11:47:35.161235,99.89,18,Product C
lawrence73@example.com,2024-07-12 22:20:07.567488,124.0,13,Product A
moniquelee@example.com,2023-11-12 11:06:39.362521,794.74,14,Product B
april59@example.net,2024-04-15 18:30:18.613513,372.19,20,Product B
millerdrew@example.com,2024-04-21 12:40:41.971451,632.4,12,Product C
ofoster@example.net,2023-10-17 09:57:43.091920,926.4,6,Product A
